id,created_on,operation,property_type,place_name,place_with_parent_names,country_name,state_name,geonames_id,lat_lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,description,title,image_thumbnail
3d33ed10ce832c1310926f08e08c2e7dde9bfeb4,9/26/2014,rent,house,Rawson,|Argentina|Chubut|Rawson|,Argentina,Chubut,3839303,"-43.2998581,-65.0994873",-43.2998581,-65.0994873,15000,ARS,15031.06,870.13,300,300,2.900433333,50,,5,,http://www.properati.com.ar/iuoy_alquiler_casa_rawson,Se alquila casa en pleno centro de Rawson a reciclar a pocos metros del Centro Comercial por eso lo bajo el valor de alquiler. .Publicado por Agronorte SA a traves INMOMAP,Alquilo casa en Rawson (Centro),https://thumbs4.properati.com/6/AcHnyCCSAQ98bRYxBMy5QcWHqu4=/trim/198x0/smart/filters:strip_icc()/www.inmomap.com.ar/fotos/1411678775_1411678775bfa98c7544f95b5baa8e6ab0b370f6bc.jpg
21eed858d2b124d4fea09575801ff8b3695afc8d,1/11/2015,rent,house,Ituzaingó,|Argentina|Corrientes|Ituzaingó|,Argentina,Corrientes,3433357,"-27.5884602,-56.6900782",-27.5884602,-56.6900782,1200,ARS,1203.51,69.67,30,,2.322333333,,,3,,http://www.properati.com.ar/keok_alquiler_departamentos_ituzaingo_corrientes_3300,"ALQUILA CASA EN ITUZAINGO $1200 X DÍA A 30 MTS de la playa,  hasta 6 personas.ALQUILA CASA EN ITUZAINGO $1200 X DÍA A 30 MTS de la playa,  hasta 6 personas. Se paga los días de estadías + Comisión.POSADAS INMOBILIARIA- Tel: (+54) 376 4422471- 4429154Cel. 376 15 4733225 - 376 15 5065456Calle Entre Ríos 1729 - Posadas - Mnes - ArgentinaHorarios de 8:00 a 12:00 y de 16:00 a 20:00hs",ALQUILA CASA EN ITUZAINGO $1200 X DIA,https://thumbs4.properati.com/5/ch-jmn_1BN4EI2k2uZ2LKowuKiU=/trim/198x0/smart/filters:strip_icc()/inmokey-media.s3-website-sa-east-1.amazonaws.com/properties/8/5/p-99685-221214020658-686190.jpg
d66eeff476e25768a79b05960b498c106d84f60e,8/27/2014,rent,store,Santa Rosa,|Argentina|La Pampa|Santa Rosa|,Argentina,La Pampa,3835994,"-36.6167829,-64.2820527",-36.6167829,-64.2820527,6500,ARS,8466.23,490.1,50,50,9.802,130,,,,http://www.properati.com.ar/i78y_alquiler_local_santa-rosa,CODIGO: 2315-lc00101 ubicado en: M.T. de Alvear 703 -  Publicado por: INMOBILIARIA RAICES PAMPA. El precio es de ARS 6500. Excelente esquina en el centro de la ciudad de Santa Rosa. Consta de amplias vidrieras y excelente vista tanto para quienes recorren la calle Urquiza y como la Marcelo T. de Alvear. . Publicado a través de Mapaprop,Local Comercial en importante esquina del centro de Santa Rosa.,https://thumbs4.properati.com/8/_8tvdyGf9E-3uKKYPxOzUncJcTk=/trim/198x0/smart/filters:strip_icc()/images.mapapropapp.com/mapaprop-images/photos/2315/64446/469287.jpg
801f37514b7302ea6171e15b789dee3a1f0cf404,9/23/2014,rent,PH,Formosa,|Argentina|Formosa|Formosa|,Argentina,Formosa,3433898,"-26.2007243,-58.2035962",-26.2007243,-58.2035962,2300,ARS,2697.75,156.17,120,70,1.301416667,32.85714286,,2,,http://www.properati.com.ar/iqxw_alquiler_departamento_formosa,"Dpto a estrenar de 1 dormitorio, una cocina comedor con ventilador de techo, una habitacion ampli, un lavadero con termotanque, patio frontal con parilla y estacionamiento -  - PONTE PROPIEDADES",PH EN ALQUILER,https://thumbs4.properati.com/8/KuW0qb0mzpNb4LTvPTM1KP6rQFI=/trim/198x0/smart/filters:strip_icc()/www.amaira.com.ar/buscador/imagenes/POP/POP1307_2.jpg%3F1459802955
a5c9df42cb4a6c8f575a73839ea2c96aa1fe92b7,9/23/2014,rent,house,Formosa,|Argentina|Formosa|Formosa|,Argentina,Formosa,3433898,,,,39000,ARS,45744.94,2648.12,200,130,13.2406,300,,2,,http://www.properati.com.ar/iqzu_alquiler_casa_formosa,"Casa de 2 dormitorios, 1 cocina comedor, 1 oficina. 1 Garage cubierto, 1 salon cubierto 1 deposito y patio, ubicado sobre un pasaje a pocos metros de la calle Jose Maria Cabezon. -  - PONTE PROPIEDADES",CASA EN ALQUILER,
4550b530a52ee02452fafbb880ad07bea5ca4917,11/27/2014,rent,house,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.3364349139,-64.3096733031",-31.33643491,-64.3096733,11000,ARS,12691.92,734.72,400,130,1.8368,84.61538462,,,,http://www.properati.com.ar/ju3a_venta_casa_cordoba,"CODIGO:  ubicado en: El Cuy esq. Los alamos -  Publicado por: MARIANO AMUCHÁSTEGUI SERVICIOS INMOBILIARIOS. El precio es de ARS 11000. HERMOSA CASA TIPO DUPLEX, DE CATEGORIA UBICADOS EN EL PEQUEÑO BARRIO CERRADO ¨LA PEDRERA"". PB: HALL DE INGRESO, COCICNA/COMEDOR LIVING/COMEDOR LAVADERO Y CON TENDER Y GALERIA. PA: TRES DORMITORIOS UNO EN SUITE BAÑO CON BAÑERA. PATIO DE CESPED CON PILETA. 130m2 CUBIERTOS Y 400m2 DE LOTE.  . Publicado a través de Mapaprop",ALQUILER HERMOSA CASA - COMPLEJO CERRADO SIN EXPENSAS!!! VILLA WARCALDE,https://thumbs4.properati.com/0/y5TFoyyPya_jdQiKXVfFK_QLlBw=/trim/198x0/smart/filters:strip_icc()/images.mapapropapp.com/mapaprop-images/photos/1438/70185/526246.jpg
2181692593c33773d2faf43e5110cedbb39449fa,12/5/2014,rent,house,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.3989296,-64.1821289",-31.3989296,-64.1821289,2500,ARS,4572.73,264.71,500,85,0.52942,29.41176471,,,,http://www.properati.com.ar/jywn_alquiler_casa_cordoba,"CASA DE DOS DORMITORIOS, COCINA COMEDOR INTEGRADA CON BAJO MESADA Y TERMOTANQUE, UN BAÑO COMPLETO, ENTRADA PARA VEHÍCULO. GRAN PATIO DE 500 METROS CUADRADOS. LA CASA ES DE LADRILLOS VISTO, TECHO DE MADERA CON TEJAS.Consulte condiciones y requisitos al celular de contacto 351 5 103756 ó al teléfono laboral (0351) 4882644 de Lunes a Viernes de 9 y 30 hs a 12 y 30 hs y de 17 hs a 19 hs . ",Villa Rivera Indarte CASA EN ALQUILER. 2 Dormitorios. 500 m2. 85 m2c. ,https://thumbs4.properati.com/0/SNWx6l520O6Orno1N3bdcz8dohg=/trim/198x0/smart/filters:strip_icc()/cdn.inmokey.com/properties/6/0/p-98460-051214110529-909979.jpg
8cad42985627185e46b41a31be88d80548c74b81,10/14/2014,rent,house,Mina Clavero,|Argentina|Córdoba|Mina Clavero|,Argentina,Córdoba,3844229,"-31.367989,-64.168793",-31.367989,-64.168793,3600,ARS,4127.05,238.91,350,95,0.6826,37.89473684,,7,,http://www.properati.com.ar/j1lf_alquiler_casa_mina-clavero_enrique-muino_840,"Casas Oportunidad Inmobiliaria.- Casa en alquiler permanenteLa propiedad se encuentra ubicada sobre calle Enrique Muiño Nº 840 Bº Residencial, (Ref.: a 400mts de A. San Martín), Localidad de Mina Clavero, Traslasierra, Córdoba. Las propiedades colindantes corresponden a casas de familias y hospedajes temporarios.-                                                                       El lote como la casa están orientados hacia el Norte, posee suelo llano, la superficie del terreno es de 350mts2 aprox. y la vivienda cuenta con unos 95 mts2 aprox. La propiedad está construida con ladrillo block finalizado, techo de loza plano, aberturas de metal con sus respectivas rejas en cada ventana. La misma se distribuye de la siguiente manera: jardín muy amplio parquizado, cochera semi cubierta con techo de chapa, luego se encuentra la vivienda con cocina comedor muy amplio (termo tanque), dos (2) dormitorios, ambos con placar empotrados de madera, baño completamente instalado, lavadero cubierto, patio de césped con cuarto de depósito.-                                                           Servicios: Energía eléctrica, agua de red, alumbrado público, recolección de residuos, línea telefónica, Cable.-                                                                                      Contrato por 24 meses.- Contacto: Molina Negocios Inmobiliarios - Tel: (03544) 471516 / 15572357 - Av. Mitre 1.730 - Mina Clavero - Traslasierra - Córdoba. Horarios de Atención de Lunes a Sábados de 09:30hs a 12:30hs y de 16:30hs a 20:00hs.-                                                                                                                                                                                                                                                   ---------------------------------------------------------------------------------------------------Importe solicitado: PESOS TRES MIL SEIS CIENTOS ($3.600) por mes. Actualización cada seis (6) meses del 15%.- Requisitos: a) Un importe equivalente al mes de alquiler.b) Un importe equivalente al mes de alquiler, en concepto de depósito en garantía.c) Honorarios inmobiliarios (5% del contrato).d) Garantía propietaria (consultar por recibos de sueldo).e) Gastos de informes de garantías, administrativos y operativos.",Casa alquiler,https://thumbs4.properati.com/5/uk_6VcZ2-pWuMGjLvG1JSQrKSvc=/trim/198x0/smart/filters:strip_icc()/properati-us-ar.s3-us-west-2.amazonaws.com/properties/888531/9d4f46af0056c90ce921115de6832fa4-20140919_150616.JPG
f7a31df01b41e9a79e17b141bc0fa44aaef36cbb,10/26/2014,rent,house,Río Tercero,|Argentina|Córdoba|Río Tercero|,Argentina,Córdoba,3838793,"-32.174839,-64.110971",-32.174839,-64.110971,14000,ARS,16050.08,929.12,230,200,4.039652174,70,,7,,http://www.properati.com.ar/j6ah_alquiler_casa_rio-tercero,"PLENO CENTRO DE RIO TERCERO. ZONA BANCARIA. APTO PARA REPARTICION OFICIAL, BANCO U OTRA EMPRESA",Casa alquiler,"https://thumbs4.properati.com/6/GYj5j3ostQp9SqkmJxhY-kMCSLA=/trim/198x0/smart/filters:strip_icc()/maps.googleapis.com/maps/api/staticmap%3Fkey=AIzaSyCtB7aox9MJ3hCrd_u4KJ5N0v8syKusnaA&center=-32.174839,-64.110971&zoom=19&size=800x600&maptype=satellite&sensor=false"
b3c3ee43e4512efcdcab864e106a54458f41ac64,8/19/2014,rent,house,Villa Carlos Paz,|Argentina|Córdoba|Villa Carlos Paz|,Argentina,Córdoba,3832791,"-31.396553,-64.465466",-31.396553,-64.465466,6000,ARS,12524.01,725,540,259,1.342592593,23.16602317,,5,,http://www.properati.com.ar/i3z4_alquiler_casa_villa-carlos-paz_ranqueles_200,"CASA DE 3 DORMITORIOS, 2 BAÑOS, COCINA AMPLIA, LIVING COMEDOR CON HOGAR, COCHERA CUBIERTA, PATIO CERRADO.POSEE CALEFACCION EN TODOS LOS AMBIENTES, ALARMA Y GAS NATURAL.Bº COSTA AZUL NORTE.PRECIO: $ 6.000 MENSUALES.REQUISITOS: 1 GARANTIA PROPIETARIA Y 1 GARANTE CON RECIBO DE SUELDO.",Casa alquiler,https://thumbs4.properati.com/5/t-6A_jJfz5uJTmfac2uKG_otAn8=/trim/198x0/smart/filters:strip_icc()/properati-us-ar.s3-us-west-2.amazonaws.com/properties/844960/11537240aacf4955414547abd2f569df-Frente_C_Costa_A-1.jpg
